epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,93.7235,1.41626,0.93023,1.23524,0.89595,0.84022,0.8715,0.41713,1.83889,1.11931,1.66725,0.00062875,0.00062875,0.00062875
137,94.3732,1.41237,0.93676,1.27554,0.89596,0.84029,0.8573,0.38922,1.86005,1.16753,1.6804,0.000626,0.000626,0.000626
138,95.0208,1.54954,1.0213,1.35623,0.89394,0.82248,0.8559,0.39184,1.85897,1.1542,1.70185,0.00062325,0.00062325,0.00062325
139,95.6697,1.47257,0.98371,1.34146,0.83629,0.87224,0.86319,0.42117,1.80653,1.12441,1.69069,0.0006205,0.0006205,0.0006205
140,96.3408,1.49743,0.96948,1.27721,0.90482,0.80488,0.85869,0.43488,1.73997,1.10521,1.6796,0.00061775,0.00061775,0.00061775
141,97.0022,1.36364,0.93093,1.26499,0.90734,0.80488,0.8591,0.44362,1.71821,1.09994,1.67578,0.000615,0.000615,0.000615
142,97.6944,1.37776,0.90154,1.27213,0.90093,0.80488,0.85486,0.4431,1.71959,1.10617,1.68304,0.00061225,0.00061225,0.00061225
143,98.3563,1.38408,0.97229,1.29779,0.90471,0.80488,0.8602,0.44336,1.74456,1.1007,1.68665,0.0006095,0.0006095,0.0006095
144,99.0562,1.51643,0.97799,1.34131,0.90673,0.80488,0.87055,0.44617,1.76728,1.08104,1.67895,0.00060675,0.00060675,0.00060675
145,99.7758,1.44059,0.94566,1.31023,0.89453,0.82748,0.86827,0.42961,1.78695,1.07985,1.67251,0.000604,0.000604,0.000604
146,100.469,1.5156,1.03824,1.32904,0.88852,0.80488,0.87328,0.43355,1.76419,1.07558,1.63896,0.00060125,0.00060125,0.00060125
147,101.152,1.45226,0.99958,1.33,0.88838,0.80488,0.87442,0.4472,1.71806,1.08217,1.60563,0.0005985,0.0005985,0.0005985
148,101.893,1.37058,0.96193,1.2628,0.88408,0.78049,0.87279,0.45783,1.67265,1.11718,1.57857,0.00059575,0.00059575,0.00059575
149,102.668,1.49412,0.96031,1.25624,0.88468,0.74858,0.83546,0.45129,1.64008,1.17045,1.57404,0.000593,0.000593,0.000593
150,103.444,1.50044,1.00061,1.33701,0.85818,0.70732,0.78818,0.41909,1.65457,1.25486,1.60369,0.00059025,0.00059025,0.00059025
151,104.161,1.52764,1.00976,1.29477,0.8336,0.70732,0.75947,0.40073,1.70398,1.30268,1.65155,0.0005875,0.0005875,0.0005875
152,104.818,1.48461,0.98935,1.27688,0.81962,0.70732,0.75551,0.38567,1.78229,1.31237,1.70274,0.00058475,0.00058475,0.00058475
153,105.473,1.75171,1.05422,1.32041,0.84452,0.70732,0.76069,0.38082,1.88264,1.26935,1.74473,0.000582,0.000582,0.000582
154,106.142,1.47611,0.93456,1.23257,0.87912,0.7561,0.79392,0.38719,1.9012,1.19783,1.74234,0.00057925,0.00057925,0.00057925
155,106.806,1.50615,1.02023,1.35475,0.86374,0.77319,0.79062,0.39847,1.85084,1.14671,1.70131,0.0005765,0.0005765,0.0005765
156,107.464,1.62235,1.04655,1.32109,0.81572,0.78049,0.80376,0.41761,1.79509,1.14259,1.67511,0.00057375,0.00057375,0.00057375
157,108.281,1.3281,0.89102,1.24808,0.82667,0.78049,0.80552,0.41548,1.79404,1.13996,1.67106,0.000571,0.000571,0.000571
158,108.925,1.38416,0.9553,1.29913,0.8218,0.78749,0.81542,0.42219,1.82671,1.18771,1.69054,0.00056825,0.00056825,0.00056825
159,109.574,1.48492,0.94654,1.30759,0.82722,0.7561,0.79052,0.3906,1.81618,1.24196,1.69869,0.0005655,0.0005655,0.0005655
160,110.24,1.49011,1.02865,1.37028,0.77967,0.77687,0.73717,0.37269,1.76256,1.3171,1.68715,0.00056275,0.00056275,0.00056275
161,110.903,1.51421,0.95868,1.31255,0.74116,0.73171,0.69381,0.368,1.72354,1.35208,1.68751,0.00056,0.00056,0.00056
162,111.55,1.56594,1.06645,1.33395,0.73064,0.73171,0.69214,0.38685,1.67421,1.34325,1.67429,0.00055725,0.00055725,0.00055725
163,112.201,1.49035,0.92917,1.2163,0.69443,0.7561,0.68654,0.38477,1.67983,1.31973,1.68669,0.0005545,0.0005545,0.0005545
164,112.851,1.43659,0.99928,1.34298,0.74079,0.7561,0.68801,0.39108,1.67354,1.27432,1.68503,0.00055175,0.00055175,0.00055175
165,113.502,1.37149,0.91654,1.27809,0.71793,0.78049,0.73277,0.41206,1.68832,1.23757,1.67747,0.000549,0.000549,0.000549
166,114.154,1.46552,0.91923,1.28443,0.7623,0.80488,0.76505,0.43113,1.70275,1.19748,1.6669,0.00054625,0.00054625,0.00054625
167,114.807,1.49004,0.98511,1.34538,0.84839,0.82927,0.81078,0.44384,1.73859,1.15903,1.66331,0.0005435,0.0005435,0.0005435
168,115.457,1.35758,0.9051,1.28496,0.81237,0.82927,0.82399,0.42919,1.7664,1.13835,1.66903,0.00054075,0.00054075,0.00054075
169,116.105,1.40549,0.90483,1.31401,0.7943,0.80488,0.80196,0.39218,1.82086,1.17039,1.70358,0.000538,0.000538,0.000538
170,116.759,1.40679,0.91701,1.24358,0.80168,0.78889,0.79099,0.37056,1.88646,1.20009,1.74617,0.00053525,0.00053525,0.00053525
171,117.412,1.51446,0.97274,1.36831,0.81143,0.73171,0.75746,0.33098,1.97406,1.28654,1.80765,0.0005325,0.0005325,0.0005325
172,118.078,1.51147,1.00395,1.3232,0.8251,0.73171,0.74198,0.32424,1.99601,1.37722,1.82522,0.00052975,0.00052975,0.00052975
173,118.72,1.51157,0.99281,1.31849,0.81841,0.73171,0.74108,0.34536,1.91488,1.40417,1.77549,0.000527,0.000527,0.000527
174,119.359,1.42619,0.96275,1.29196,0.83079,0.78049,0.77683,0.37973,1.77548,1.34831,1.68395,0.00052425,0.00052425,0.00052425
175,119.995,1.51079,0.98883,1.34484,0.86121,0.80488,0.79892,0.41058,1.66804,1.30092,1.62017,0.0005215,0.0005215,0.0005215
176,120.63,1.35175,0.94268,1.28484,0.85029,0.80488,0.80026,0.42598,1.58833,1.26962,1.58588,0.00051875,0.00051875,0.00051875
177,121.433,1.48955,0.89995,1.22196,0.84527,0.85366,0.80934,0.44837,1.53851,1.18745,1.57637,0.000516,0.000516,0.000516
178,122.068,1.44319,0.93395,1.30511,0.84345,0.85366,0.81114,0.45843,1.56698,1.13742,1.57774,0.00051325,0.00051325,0.00051325
179,122.705,1.4214,0.96847,1.31239,0.85618,0.87132,0.81587,0.43893,1.65797,1.14546,1.59875,0.0005105,0.0005105,0.0005105
